date,open,high,low,close
2022-01-23,2408.6448432759266,undefined,undefined,undefined
2022-01-22,2569.0088153038,2623.962735589759,2312.487978452396,2403.180737525459
2022-01-22,2571.526088075571,undefined,undefined,undefined
2022-01-21,2975.02,3033.23,2477.364729164081,2563.4411412895915
2022-01-21,3001.18,undefined,undefined,undefined
2022-01-20,3092.48,3271.7999999999997,2998.34,2998.34
2022-01-20,3084.46,undefined,undefined,undefined
2022-01-19,3159.81,3176.41,3050.88,3091.59
2022-01-19,3160.81,undefined,undefined,undefined
2022-01-18,3213.3,3242.73,3091.4600000000005,3163.52
2022-01-18,3210.98,undefined,undefined,undefined
2022-01-17,3353.92,3358.22,3142.3900000000003,3213.29
2022-01-16,3331.28,3386.1199999999994,3285.7099999999996,3349.79
2022-01-16,3328.12,undefined,undefined,undefined
2022-01-15,3310.184792868072,3370.32,3274.2,3331.02
2022-01-14,3238.5900000000006,3337.71,3198.0195478047826,3310.05
2022-01-14,3239.1223889179055,undefined,undefined,undefined
2022-01-13,3371.01,3407.16,3237.23,3237.44
2022-01-12,3246.53,3407.942126164921,3210.021743381409,3371.26
2022-01-12,3240.921167522541,undefined,undefined,undefined
2022-01-11,3086.95,3261.815315591089,3054.7687418980468,3238.28
2022-01-11,3085.0001934071497,undefined,undefined,undefined
2022-01-10,3147.7,3179.21,2933.1282617621646,3085.383482581666
2022-01-10,3151.0361287036703,undefined,undefined,undefined
2022-01-09,3080.649782415343,3210.9749468573395,3060.9709562272333,3152.091216738852
2022-01-09,3083.028360936657,undefined,undefined,undefined
2022-01-08,3197.876288682678,3244.946272351927,3002.3824605530945,3083.7575695790288
2022-01-08,3196.0780264044292,undefined,undefined,undefined
2022-01-07,3406.3354655576654,3414.108413030849,3069.802402005459,3194.028504103375
2022-01-07,3410.388505658501,undefined,undefined,undefined
2022-01-06,3538.5138464453344,3549.3448363958532,3305.6396124360062,3412.3881048207286
2022-01-06,3539.0541891395596,undefined,undefined,undefined
2022-01-05,3785.0608265330166,3847.4491728151656,3415.6016183294455,3544.7459425918705
2022-01-05,3790.5181531701587,undefined,undefined,undefined
2022-01-04,3762.93,3889.8337941761697,3716.5299999999997,3789.383845347192
2022-01-03,3820.22,3843.92,3687.66,3764.2700000000004
2022-01-03,3819.97,undefined,undefined,undefined
2022-01-02,3767.1799999999994,3848.72,3719.19,3831.21
2022-01-02,3767.3,undefined,undefined,undefined
2022-01-01,3691.7099999999996,3774.82,3681.82,3768.75
2022-01-01,3683.47,undefined,undefined,undefined
2021-12-31,3706.97,3810.57,3624.36,3677.6299999999997
2021-12-30,3637.27,3768.06,3595.39,3711.5
2021-12-29,3797.9399999999996,3827.5400000000004,3614,3626.2000000000003
2021-12-28,4031.6,4033.28,3768,3796.81
2021-12-27,4069.17,4126.92,4037.5200000000004,4040.09
2021-12-27,4065.91,undefined,undefined,undefined
2021-12-26,4093.56,4106.27,4013.3999999999996,4066.4599999999996
2021-12-25,4045.15,4135.3,4026.24,4095.95
2021-12-24,4120.03,4136.68,4026.4,4044.44
2021-12-23,3986.37,4149,3897.0300000000007,4109.07
2021-12-23,3980.8299999999995,undefined,undefined,undefined
2021-12-22,4021.41,4073.8135880173513,3947.5782898050866,3980.83
2021-12-21,3952.27,4061.7199999999993,3917.5999999999995,4019.545337456879
